CODE_IRIS,id_2,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
340580102,380523,5,1,1,1,0,5,1,1,0,1,1,1,1,0
340570105,316295,5,2,1,2,1,9,1.8,2,0.4,1,2,2,2,0
341722403,265050,5,2,2,3,1,14,2.8,3,0.4,2,3,3,3,0
341230102,189800,1,1,1,1,0,1,1,1,0,1,1,1,1,0
340220102,413401,5,1,2,2,0,10,2,2,0,2,2,2,2,0
342170102,265566,1,1,1,1,0,1,1,1,0,1,1,1,1,0
340270000,415995,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341720301,242419,5,3,1,3,2,10,2,2,0.632455532033676,1,2,2,2,0
341160101,170567,4,3,2,4,2,12,3,3,0.707106781186548,2,3,2.5,3.5,1
342440000,441434,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340580103,364771,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341980103,345209,7,2,2,3,1,15,2.14285714285714,2,0.349927106111883,3,2,2,2,0
340570104,310142,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340950103,146852,3,1,3,3,0,9,3,3,0,3,3,3,3,0
342020102,116647,1,1,1,1,0,1,1,1,0,1,1,1,1,0
343370103,239916,6,2,1,2,1,7,1.16666666666667,1,0.372677996249965,2,1,1,1,0
341721303,239821,1,1,2,2,0,2,2,2,0,2,2,2,2,0
